Scholarship Name,Scholarship Sponsor,Description,Eligibility:,Application closing date:,Support Type:,Level of Study:,Gender:,Frequency of Offer:,Fields of Study:,Location of Study:,No Offered Per Year:,Target Group:,Subjects:,Scholarship website
A G Whitlam Graduate Merit Scholarship,The University of Melbourne,"The A G Whitlam Scholarships are made available through the generosity of the late Arthur Gordon Whitlam and are funded by the A G Whitlam Trust. The A.G Whitlam Graduate Scholarships are available to all students, local and international, who apply to a coursework program at Melbourne Business School.",All candidates made an unconditional offer for a program at Melbourne Business School will be automatically considered. Candidates with conditional offers will be eligible for remaining unallocated awards only once conditions are met. Selection is based on the same criteria as selection for the program.,No application required,Scholarship,,Co-Ed,Annual,"Accounting, Business & Management, Economics",Melbourne Metropolitan,6,,"Economics, Commerce, Accounting, Finance, Marketing, Human resource management, Business, Organisational change, Actuarial studies, Financial management, International business, Operations management, International commerce",http://scholarships.unimelb.edu.au/awards/ag-whitlam-graduate-merit-scholarship
A.G. McCready Memorial Scholarship,University of Queensland,"Established in 1996 by Mrs I.C. McCready in memory of her late husband Alfred Glen McCready, who was admitted to the degree of Bachelor of Arts with First Class Honours in Classics and awarded the University Medal for outstanding merit in 1940 and who lectured in Classics with The University of Queensland, 1946-49. The scholarship is maintained by the income of the fund established by a gift of $30,000 from Mrs I.C. McCready, Mr W.K. Lam and Dr L.L. Chan.","Applicants must: be Australian or New Zealand citizens, or permanent residents; be enrolled full-time or part-time in a postgraduate Bachelor of Arts (Honours) in Classical Languages at UQ. Selection is based on academic merit.",,Scholarship,,Co-Ed,Annual,Language & Literature,Brisbane Metropolitan,,,Languages,http://scholarships.uq.edu.au/scholarship/ag-mccready-memorial-scholarship
AAUW Educational Foundation International Fellowship,American Association of University Women,The fellowships are intended to provide support for study or research related to the advancement or improvement of the lives of women and girls. Recipients may study in any country other than their own.,"Applicants must: not be citizens or permanent residents of the US; have completed an academic degree; be intending to undertake full-time study or research during the fellowship year; be proficient in English; and have applied to an accredited institution of study, and that institution must be in the US unless applicants are members of an organisation affiliated with the IFUW. Both graduate and postgraduate study is supported. AAUW members are not eligible to apply for International Fellowships.",1 December,Scholarship,,Female,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services",Anywhere in Australia,,,,http://www.aauw.org/what-we-do/educational-funding-and-awards/international-fellowships/
ABRSM International Scholarship,Associated Board of the Royal Schools of Music (ABRSM),"The ABRSM International Scholarships are given for either undergraduate or postgraduate courses at each of the 4 Royal Schools of Music in the UK: Royal Academy of Music, Royal College of Music, Royal Northern College of Music, and Royal Conservatoire of Scotland.","Applicants must: be nationals of countries that are not part of the European Union; not have been living and/or studying in the UK for more than a year preceding 31 January in the year of entry to the course; and be 17 years of age for undergraduate study, or 21 years for postgraduate study.",31 January,Scholarship,,Co-Ed,Annual,Creative Arts,,8,,"Music, Music performance",http://us.abrsm.org/en/about-abrsm/scholarships/apply-for-an-international-scholarship/
Academic Achievement Awards (AAA),UNSW Sydney,These awards are provided to encourage academically gifted local HSC students from NSW and ACT high schools to undertake undergraduate study at UNSW.,"AAA offers will be made by UNSW to students that achieve the highest ATAR (not including bonus points) at eligible NSW and ACT high schools. Nominees will receive a Certificate of Recognition from UNSW. The Certificate is not an offer to study at UNSW. The AAA cannot be held in conjunction with a UNSW Scientia Scholarship, Student Achievement Award (SAA) or Rural Student Achievement Award.",31 October,Scholarship,,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services, ELICOS course",Sydney Metropolitan,,,,http://www.scholarships.unsw.edu.au/scholarships/id/1
Accounting and Finance Honours Scholarship,Monash University,,"Applicants must: be Australian or New Zealand citizens, Australian permanent residents, permanent humanitarian visa holders or international students; and be commencing the Bachelor of Commerce (Honours) degree full-time majoring in accounting or finance at a Monash campus in Australia. Selection is based on academic achievement in accounting or finance units during the final 2 years of the degree and any prizes awarded for academic achievement. Final selection will be by a panel interview. To retain the scholarship students must be enrolled full-time and retain a minimum of Weighted Average Mark of 70 per cent.",No application required,Scholarship,,Co-Ed,Annual,Accounting,Melbourne Metropolitan,2,,"Accounting, Finance",http://www.study.monash/fees-scholarships/scholarships/find/international-student-scholarships/accounting-honours
Achievement Cleaning Humanitarian Welcome Scholarships,Swinburne University of Technology,Achievement Cleaning is committed to helping humanitarian visa holders in Australia. The University currently has a significant student population of students who identify as being enrolled under a humanitarian visa. This humanitarian welcome scholarship is designed to support commencing students holding a humanitarian visa in a Diploma or Advanced Diploma Course.,"Be commencing a Diploma or Advanced Diploma study at Swinburne in the year the scholarship is awarded. Submit a personal statement (300 words) addressing any social/economic disadvantage, involvement in the community (including leadership potential) and how you intend to contribute to your community in the future. Submit evidence of;Financial hardship, Permanent Humanitarian Visa status, and Extra-curricular service to community.",End January,Scholarship,,Co-Ed,,,,,,,
ACISA Stress and Trauma Scholarship,University of Queensland,Established in 2008 and maintained by funds donated from the Australian Critical Incident Stress Association Inc (ACISA). The purpose of the scholarship is to encourage students to undertake applied research in the area of stress and trauma in the community or workplace.,"Applicants must: be Australian or New Zealand citizens, or permanent residents, or international students; be enrolled in the Master of Mental Health; be enrolled in the course entitled Independent Mental Health Project A in Semester 1; intend to enrol in the course entitled Independent Mental Health Project B in either the following semester or the year immediately following; and be undertaking an Independent Mental Health Project in the broad research area of stress and trauma in the community or workplace.",,Scholarship,,Co-Ed,Annual,"Health Services & Support, Medicine",Brisbane Metropolitan,,,Mental health,http://scholarships.uq.edu.au/
ACTION Trust Honours Year Scholarship,Australian National University,The scholarship is awarded annually to up to 2 candidates within the Fenner School of Environment and Society and the Research School of Earth Sciences.,The scholarship shall be available for award each year to students who: have been successful in gaining entry into the Honours year of a program of study through the Fenner School of Environment and Society or the Earth and Marine Science program in the Research School of Earth Sciences: have a strong academic record; are intending to undertake research in an area relating to environment and sustainability; have willing and suitable supervision.,31 March,Scholarship,,Co-Ed,Annual,"Agriculture & Natural Resources, Environmental Studies, Sciences",Australian Capital Territory,2,,"Environmental science, Resource management",http://www.anu.edu.au/students/scholarships/action-trust-honours-scholarship
ACU Canberra Rural Placement Scholarships,Australian Catholic University,"It is recognised across the University sector that a barrier for students taking practicum placements in rural and/or regional locations is the additional financial burden placed on the student due to increased costs, together with loss of income from regular employment. To assist students at the Canberra campus to undertake such placements, Australian Catholic University is making available up to twenty Rural and Regional Placement Scholarships per year.","This scholarship is open to applicants who are studying at the Canberra campus in the Faculty of Education and Arts or the Faculty of Health Sciences, undertaking a rural or regional placement and have successfully completed a previous placement.",1 September,Scholarship,,Co-Ed,Annual,"Creative Arts, Education & Training, Health Services & Support, Humanities & Social Sciences",Australian Capital Territory,20,,,http://www.acu.edu.au/study_at_acu/fees_And_scholarships/scholarships_and_financial_support
